date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:26:20	531573/531573	---M--	200	added ('OK')	image/jpeg	etag:%225a02567-81c75-5a311845f7536%22	http://amzoneinternational.com/php/images/hd/16.jpg	H:/zzzztest/New%20folder/liftjet/amzoneinternational.com/php/images/hd/16.jpg	(from http://www.amzoneinternational.com/)
22:26:21	29774/29774	---M--	200	added ('OK')	application/javascript	etag:%225a00247-744e-4f57f9973d6c0%22	http://amzoneinternational.com/php/themes/jquery.nivo.slider.js	H:/zzzztest/New%20folder/liftjet/amzoneinternational.com/php/themes/jquery.nivo.slider.js	(from http://www.amzoneinternational.com/)
22:26:23	93068/93068	---M--	200	added ('OK')	application/javascript	etag:%225a0024a-16b8c-4f57f9973d6c0%22	http://amzoneinternational.com/php/themes/scripts/jquery-1.9.0.min.js	H:/zzzztest/New%20folder/liftjet/amzoneinternational.com/php/themes/scripts/jquery-1.9.0.min.js	(from http://www.amzoneinternational.com/)
22:26:23	7087/7087	---M--	200	added ('OK')	image/png	etag:%225a001c0-1baf-4f57f99925b40%22	http://amzoneinternational.com/php/assets/img/logo.png	H:/zzzztest/New%20folder/liftjet/amzoneinternational.com/php/assets/img/logo.png	(from http://amzoneinternational.com/php/assets/css/style.css)
22:26:23	23/23	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Sep%202020%2018:26:12%20GMT	http://amzoneinternational.com/php/assets/img/pattern.jpg	H:/zzzztest/New%20folder/liftjet/amzoneinternational.com/php/assets/img/pattern.32.delayed	(from http://amzoneinternational.com/php/assets/css/style.css)
22:26:24	23/23	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Sep%202020%2018:26:12%20GMT	http://amzoneinternational.com/php/assets/img/line.png	H:/zzzztest/New%20folder/liftjet/amzoneinternational.com/php/assets/img/line.png	(from http://amzoneinternational.com/php/assets/css/style.css)
22:26:25	551/551	---M--	200	added ('OK')	image/png	etag:%225a001a3-227-4f57f99925b40%22	http://amzoneinternational.com/php/assets/img/social-icons/twitter.png	H:/zzzztest/New%20folder/liftjet/amzoneinternational.com/php/assets/img/social-icons/twitter.png	(from http://amzoneinternational.com/php/assets/css/style.css)
22:26:25	879/879	---M--	200	added ('OK')	image/png	etag:%225a001a5-36f-4f57f99831900%22	http://amzoneinternational.com/php/assets/img/social-icons/dribbble.png	H:/zzzztest/New%20folder/liftjet/amzoneinternational.com/php/assets/img/social-icons/dribbble.png	(from http://amzoneinternational.com/php/assets/css/style.css)
22:26:25	687/687	---M--	200	added ('OK')	image/png	etag:%225a001a6-2af-4f57f99925b40%22	http://amzoneinternational.com/php/assets/img/social-icons/rss.png	H:/zzzztest/New%20folder/liftjet/amzoneinternational.com/php/assets/img/social-icons/rss.png	(from http://amzoneinternational.com/php/assets/css/style.css)
22:26:26	811/811	---M--	200	added ('OK')	image/png	etag:%225a001ae-32b-4f57f99925b40%22	http://amzoneinternational.com/php/assets/img/social-icons/pinterest.png	H:/zzzztest/New%20folder/liftjet/amzoneinternational.com/php/assets/img/social-icons/pinterest.png	(from http://amzoneinternational.com/php/assets/css/style.css)
22:26:26	496/496	---M--	200	added ('OK')	image/png	etag:%225a001a4-1f0-4f57f99925b40%22	http://amzoneinternational.com/php/assets/img/social-icons/flickr.png	H:/zzzztest/New%20folder/liftjet/amzoneinternational.com/php/assets/img/social-icons/flickr.png	(from http://amzoneinternational.com/php/assets/css/style.css)
22:26:27	563/563	---M--	200	added ('OK')	image/png	etag:%225a001a0-233-4f57f99925b40%22	http://amzoneinternational.com/php/assets/img/social-icons/forrst.png	H:/zzzztest/New%20folder/liftjet/amzoneinternational.com/php/assets/img/social-icons/forrst.png	(from http://amzoneinternational.com/php/assets/css/style.css)
22:26:27	642/642	---M--	200	added ('OK')	image/png	etag:%225a001aa-282-4f57f99925b40%22	http://amzoneinternational.com/php/assets/img/social-icons/vimeo.png	H:/zzzztest/New%20folder/liftjet/amzoneinternational.com/php/assets/img/social-icons/vimeo.png	(from http://amzoneinternational.com/php/assets/css/style.css)
22:26:28	448/448	---M--	200	added ('OK')	image/png	etag:%225a001a9-1c0-4f57f99925b40%22	http://amzoneinternational.com/php/assets/img/social-icons/linkedin.png	H:/zzzztest/New%20folder/liftjet/amzoneinternational.com/php/assets/img/social-icons/linkedin.png	(from http://amzoneinternational.com/php/assets/css/style.css)
22:26:28	355/355	---M--	200	added ('OK')	image/png	etag:%225a001af-163-4f57f99925b40%22	http://amzoneinternational.com/php/assets/img/social-icons/facebook.png	H:/zzzztest/New%20folder/liftjet/amzoneinternational.com/php/assets/img/social-icons/facebook.png	(from http://amzoneinternational.com/php/assets/css/style.css)
